nombre_autor,genero,pais_nacimiento,region,fecha_nacimiento,fecha_muerte,disciplina,institucion,ciudad_institucion,fuente_principal,confianza,requiere_revision,wikidata_id,openalex_id,notas,pais_institucion
hegel georg wilhelm friedrich,masculino,Alemania,Europa,1770,1831,Filosofía,"Universidad de Jena, Universidad de Heidelberg, Universidad de Berlín","Jena, Berlín",openalex,media,False,Q5535835,https://openalex.org/A5110875100,"Georg Wilhelm Friedrich Hegel nació en Stuttgart, actual Alemania, en 1770. Falleció en Berlín en 1831. Su nombre y las biografías consultadas indican que su género es masculino. Es ampliamente reconocido como filósofo. Fue docente en la Universidad de Jena, la Universidad de Heidelberg y la Universidad de Berlín.",Alemania
heidegger martin,masculino,Alemania Nazi,Europa,1889,1976,Filosofía,Universidad de Friburgo,Marburgo,wikidata,alta,False,Q48301,,,Alemania
heinrich michael,masculino,Alemania,Europa,1957,,"Ciencia Política, Filosofía, Economía",Universidad de Ciencias Aplicadas de Berlín,Shenyang,wikidata,alta,False,Q1803602,https://openalex.org/A5047348736,"Se encontró que Michael Heinrich nació en 1957. Es un historiador de la filosofía y politólogo alemán, especializado en el estudio crítico del pensamiento de Karl Marx. También ha enseñado economía en la Universidad de Ciencias Aplicadas de Berlín. Fue asistente de investigación en el Departamento de Ciencia Política de la Free University of Berlin, profesor visitante en la University of Vienna y HTW Berlin, y profesor en la Free University Berlin y HTW Berlin. La información previa sobre la China Medical University parece referirse a otro académico con el mismo nombre, un profesor de etnofarmacología y farmacognosia en University College London, que fue nombrado Yushan Fellow en la China Medical University en 2022.",China
held david,masculino,Reino Unido,Anglosajón,1951,2019,Ciencia Política,London School of Economics,Durham,wikidata,alta,False,Q1174707,,,Reino Unido
hennion antoine,masculino,Francia,Europa,1952,,Sociología,Escuela superior de minas de París,París,wikidata,alta,False,Q2854052,,,Francia
henri hubert,masculino,Francia,Europa,1872,1927,"Sociología, Arqueología, Historia de las religiones, Antropología","École Pratique des Hautes Études, Museo Arqueológico Nacional, École du Louvre","París, Madrid",gemini+web,media-alta,False,,,"Henri Hubert nació en París, Francia, el 23 de junio de 1872 y falleció el 25 de mayo de 1927. Fue un arqueólogo y sociólogo francés, conocido por sus estudios comparativos sobre religiones y su trabajo sobre los celtas. Colaboró con Marcel Mauss y otros miembros de L'Année Sociologique, donde fue responsable de la sección de 'sociología de la religión'. Se desempeñó como profesor en la École Pratique des Hautes Études y en la École du Louvre, y también como conservador adjunto en el Museo Arqueológico Nacional. Su obra 'Esbozo de una teoría general de la magia' fue escrita en colaboración con Marcel Mauss.","Francia, España"
herder johann gottfried,masculino,Alemania,Europa,1744,1803,"Filosofía, Teología, Crítica literaria, Antropología, Historia",Universidad de Königsberg,Kaliningrado,gemini+web,media-alta,False,,,"Johann Gottfried Herder nació el 25 de agosto de 1744 en Mohrungen, Reino de Prusia (actualmente Morag, Polonia). Falleció el 18 de diciembre de 1803 en Weimar, Alemania. Se le identifica como filósofo, teólogo y crítico literario alemán. Estudió en la Universidad de Königsberg. Su género es masculino, como se desprende de su nombre y de todas las biografías consultadas. Su obra abarca filosofía, teología, crítica literaria e historia, siendo considerado un innovador en la filosofía de la historia y la cultura. Aunque el contexto adicional menciona 'genio nacional y medio ambiente' y la editorial 'Manantial', la búsqueda confirma que 'Genio nacional y medio ambiente' es un capítulo de una publicación de Ediciones Manantial, pero no es una disciplina en sí misma.",Rusia
heredia beatriz,femenino,Argentina,Argentina,1942,2018,Antropología,Universidade Federal do Rio de Janeiro (UFRJ),Río de Janeiro,gemini+web,media-alta,False,,,"Beatriz Heredia fue una profesora e investigadora de Antropología en la Universidad Federal de Río de Janeiro (UFRJ). Nació en Santa Fe, Argentina, en 1942 y falleció el 11 de octubre de 2018. Se naturalizó brasileña y realizó su maestría y doctorado en Antropología Social en el Museo Nacional de la UFRJ. Sus trabajos se centraron en el campesinado, movimientos sociales, familia, antropología de la política y medio ambiente. La publicación 'Os comícios e a política de facções' es co-escrita por ella y Moacir Palmeira en 1995.",Brasil
heredia mariana,femenino,Argentina,Argentina,desconocido,,Sociología,"CONICET, Universidad Nacional de San Martín, Universidad de Buenos Aires, Universidad de San Andrés","Buenos Aires, San Martín, Victoria",gemini+web,media-alta,False,,,"Mariana Heredia es consistentemente identificada como mujer en todas las fuentes. Se menciona que es Licenciada en Sociología por la Universidad de Buenos Aires y Doctora en Sociología por la École des Hautes Études en Sciences Sociales de París, lo que la sitúa en el ámbito de la sociología. Es investigadora del CONICET y docente en la Universidad Nacional de San Martín, la Universidad de Buenos Aires y la Universidad de San Andrés. Aunque no se encontró una fecha de nacimiento específica para la académica Mariana Heredia, se menciona que es argentina por su afiliación con universidades y centros de investigación en Argentina. Se descartaron resultados sobre una cantaora de flamenco llamada Marina Heredia nacida en 1980 en España, ya que la información de su biografía y disciplina no coincide con la autora académica solicitada.",Argentina
heritage john,masculino,Reino Unido,Anglosajón,1946,,Sociología,"Universidad de California, Los Ángeles (UCLA)",Los Ángeles,wikidata,alta,False,Q3181746,,,Estados Unidos
heritier françoise,femenino,Francia,Europa,1933,2017,Antropología,Collège de France,París,wikidata,alta,False,Q2919314,,,Francia
hernandez asensio,masculino,España,Europa,desconocido,,Historia,"Instituto de Estudios Peruanos, RIMISP","Lima, Santiago",gemini+web,media-alta,False,,,"La búsqueda de 'Asensio Hernandez' arrojó varios resultados, incluyendo futbolistas y otros académicos. Sin embargo, al cruzar la información con el título de la publicación '¿el turismo es cosa de pobres? patrimonio cultural, pueblos indígenas y nuevas formas de turismo en américa latina' y la editorial 'instituto de estudios peruanos', se identificó a Raúl Hernández Asensio como el autor relevante. Se confirma que es Investigador Principal del Instituto de Estudios Peruanos y director del Fondo Editorial del IEP. Es Doctor en Filosofía y Letras por la Universidad de Cádiz, España, y Magíster en Estudios Latinoamericanos e Historiador de la Universidad de Cádiz. Su género se infiere por su nombre 'Raúl'. Su país de nacimiento es España, dado que realizó sus estudios de doctorado en la Universidad de Cádiz, España. Su disciplina principal es Historia, aunque sus investigaciones también abordan temas de relaciones interétnicas, sociedades de frontera, participación ciudadana, democracia y seguridad ciudadana. No se encontró información específica sobre su año de nacimiento.","Perú, Chile"
hernández daniel,masculino,Argentina,Argentina,desconocido,,Sociología,Universidad Nacional de San Martín,Talca,wikidata,alta,False,Q57243435,,"Se encontró un Daniel Hernández que fue profesor a tiempo parcial en la Universidad de Talca y obtuvo un doctorado en Ciencias de la Computación de la Universidad de Chile. Sus áreas de investigación se centran en bases de datos, Web Semántica y SPARQL. No se encontró información sobre su fecha de nacimiento o país de nacimiento, ni se pudo confirmar que sea el mismo Daniel Hernández que se especializa en Ciencias Sociales, ya que la información encontrada lo vincula a la informática. Se encontraron otros perfiles de 'Daniel Hernández' en el ámbito de las ciencias sociales, pero no están asociados a la Universidad de Talca ni a Chile. Por ejemplo, Daniel Hernández Rosete es Doctor en Sociología y Maestro en Antropología Social de México. Otro Daniel Hernández es un estudiante de doctorado en Antropología en la Universidad de Auckland, Nueva Zelanda, con ascendencia maya. Dada la información proporcionada en el contexto adicional (materias de sociología argentina), es probable que el Daniel Hernández de la Universidad de Talca no sea el mismo que el experto en ciencias sociales que se busca.",Chile
hernández lilia,femenino,México,Latinoamérica,desconocido,,Antropología,Escuela Nacional de Antropología e Historia (ENAH) / Instituto Nacional de Antropología e Historia (INAH),Ciudad de México,gemini+web,media-alta,False,,,"Se encontró a Lilia Hernández Albarrán, quien es Licenciada en Antropología Social, Maestra en Etnohistoria y candidata a doctora en Etnohistoria por la Escuela Nacional de Antropología e Historia (ENAH). Sus líneas de investigación giran en torno a la antropología de la sexualidad, salud y alimentación. Ha colaborado en diversos proyectos de investigación y es docente en la ENAH y en el Posgrado de Sociomedicina de la Facultad de Medicina de la UNAM. También es coautora de la publicación 'Determinación del sexo a través de funciones discriminantes de la rótula en esqueletos humanos contemporáneos provenientes de Caltimacán, Tasquillo, Hidalgo', lo que coincide con el título de publicación proporcionado en el contexto adicional. Su género se infiere por el nombre y la información biográfica. No se encontró una fecha de nacimiento clara para esta Lilia Hernández en particular, aunque se encontraron otras Lilia Hernández con fechas de nacimiento diferentes, pero no relacionadas con el contexto académico de antropología.",México
hernández sampieri roberto,masculino,México,Latinoamérica,1965,,Administración,"Universidad de Celaya, Instituto Politécnico Nacional","Celaya, Ciudad de México",gemini+web,media-alta,False,,,"Roberto Hernández Sampieri es un reconocido académico mexicano. Nació en 1965 en Córdoba, Veracruz, México, o en Tuxpan, Veracruz, México. Es licenciado en Ciencias de la Comunicación, maestro en Administración y doctor en Administración. Ha sido distinguido como doctor honoris causa por varias universidades latinoamericanas. Actualmente, labora en la Universidad de Celaya como docente e investigador en el doctorado en Administración y coordina el departamento de investigación en la Universidad Tecnológica Laja Bajío. También es profesor del Instituto Politécnico Nacional. Su género se infiere como masculino por su nombre y por la forma en que se refieren a él en las fuentes. Aunque su formación inicial es en Ciencias de la Comunicación, sus grados de maestría y doctorado son en Administración, y su trabajo actual se centra en la investigación en Administración, lo que lo posiciona en esta disciplina.",México
hernández valeria,femenino,desconocido,desconocido,1966,,Antropología Social,"Escuela de Altos Estudios en Ciencias Sociales (París), Institut de Recherche pour le Développement (Francia), Universidad Nacional de General Sarmiento, Universidad de Buenos Aires, Universidad Nacional de San Martín","París, Marsella, Los Polvorines, Buenos Aires, San Martín",gemini+web,media-alta,True,,,"Se identificó a Valeria Hernández como Doctora en Etnología y Antropología Social por la Escuela de Altos Estudios en Ciencias Sociales (París) y Licenciada en Ciencias Antropológicas por la Universidad de Buenos Aires. Es investigadora del Institut de Recherche pour le Développement (Francia) y colaboradora/docente en la Universidad Nacional de General Sarmiento y la Universidad Nacional de San Martín. Sus investigaciones se centran en antropología de los mundos contemporáneos, ciencia y tecnología, modelos de desarrollo, mundos rurales y cambio climático. Se menciona su participación en la publicación 'Implicación y reflexividad' en 'Etnografías Globalizadas', editado por Ediciones SAA. No se encontró información sobre su fecha o país de nacimiento. El género se infiere del nombre y de la información en los perfiles académicos. Se descartaron otras 'Valeria Hernández' que aparecen en los resultados de búsqueda (modelo, tiktoker, estudiante de medicina, montajista de cine) por no coincidir con el perfil académico y las publicaciones mencionadas.","Francia, Argentina"
hiller renata,femenino,Argentina,Argentina,desconocido,,"Ciencia Política, Sociología","CONICET, Universidad Nacional de la Patagonia San Juan Bosco","Buenos Aires, Comodoro Rivadavia",gemini+web,media-alta,False,,,"Renata Hiller es identificada como 'Licenciada en Ciencia Política' y 'Doctorado en Ciencias Sociales' en su perfil de CONICET. También se menciona que se formó como investigadora en el campo de estudios sobre género y sexualidad. Ha sido docente e investigadora en la Universidad Nacional de la Patagonia San Juan Bosco, dictando clases de Sociología y Módulo en Ciencias Sociales. Su trabajo sobre 'matrimonio igualitario y espacio público en Argentina' fue publicado por Eudeba. Su género se infiere por su nombre y por su rol como Secretaria de la Mujer, Género, Juventud y Diversidad en Comodoro Rivadavia. Aunque no se especifica su país de nacimiento, se menciona que vive en Comodoro Rivadavia desde 2012 y ha desarrollado su carrera académica y política en Argentina, incluyendo su tesis doctoral en la Universidad de Buenos Aires. No se encontró información sobre su fecha de nacimiento.",Argentina
hirsch silvia,femenino,Argentina,Argentina,1958,,Antropología,"Universidad Nacional de San Martín, FLACSO, Universidad de Buenos Aires, Princeton University","San Martín, San José, Buenos Aires, Princeton",gemini+web,media-alta,False,,,"Silvia Hirsch es identificada como mujer por su nombre y por el uso de pronombres femeninos en todas las fuentes consultadas. Nació el 5 de septiembre de 1958, lo que indica el año de nacimiento como 1958. Varias fuentes indican que es de nacionalidad argentina y que nació en Argentina. Obtuvo su Ph.D. en Antropología de la Universidad de California en Los Ángeles en 1991, y su trabajo se centra en comunidades indígenas, género, educación intercultural y salud, lo que la posiciona claramente dentro de la disciplina de la Antropología. Ha enseñado e investigado en varias instituciones, incluyendo la Universidad Nacional de San Martín (UNSAM), FLACSO, la Universidad de Buenos Aires (UBA) y la Universidad de Princeton.","Argentina, Costa Rica, Estados Unidos"
hjorth larissa,femenino,Australia,Anglosajón,1971,,Etnografía Digital,RMIT University,Victoria,wikidata,alta,False,Q109665832,,"Larissa Hjorth es identificada como mujer en varias fuentes. Su país de origen es Australia, donde trabaja en la Universidad RMIT. Aunque no se encontró una fecha de nacimiento explícita, se menciona que tiene dos décadas de experiencia liderando proyectos de medios móviles y ha estado investigando y publicando desde el año 2000, lo que es consistente con el año de nacimiento proporcionado (1971). Su disciplina principal es la etnografía digital, y también se la describe como artista socialmente comprometida. Ha cofundado el Centro de Investigación de Etnografía Digital (DERC) y sus intereses de investigación giran en torno a los medios móviles, las relaciones intergeneracionales, el juego, el envejecimiento, la pérdida y la muerte en la región de Asia-Pacífico. También ha enseñado en Diseño, Bellas Artes, Estudios Culturales y Medios y Comunicación.",
hoas hans,masculino,Alemania,Europa,1948,,Sociología,"Universidad Humboldt de Berlín, Universidad de Chicago, Universidad de Erfurt, Universidad Libre de Berlín, Universidad de Friburgo","Berlín, Chicago, Erfurt, Friburgo de Brisgovia",gemini+web,media-alta,False,,,"Hans Joas nació el 27 de noviembre de 1948 en Múnich, Alemania. Es un sociólogo y teórico social alemán. Su género se infiere por su nombre y por la información biográfica que lo describe como 'un sociólogo alemán'. Ha ocupado cargos en varias instituciones, incluyendo la Universidad Humboldt de Berlín, la Universidad de Chicago, la Universidad de Erfurt, la Universidad Libre de Berlín y la Universidad de Friburgo. Su disciplina principal es la Sociología, con un enfoque en la filosofía social y la teoría sociológica, el pragmatismo americano, la sociología de la religión y la sociología de la guerra y la violencia.","Alemania, Estados Unidos"
hobbes thomas,masculino,Reino De Inglaterra,Anglosajón,1588,1679,Filosofía Política,Universidad de Oxford,"Clifton, Nottingham",wikidata,alta,False,Q37621,,,Inglaterra
hobsbawm eric,masculino,Egipto,África,1917,2012,Historia,Birkbeck College,Londres,wikidata,alta,False,Q34933,,,Reino Unido
hochschild arlie,femenino,Estados Unidos,Anglosajón,1940,,Sociología,"Universidad de California, Berkeley",Berkeley,wikidata,alta,False,Q531128,,,Estados Unidos
hochschild arlie russell,femenino,Estados Unidos,Anglosajón,1940,,Sociología,"Universidad de California, Berkeley",Berkeley,wikidata,alta,False,Q531128,,,Estados Unidos
hoffmann carmen arellano,femenino,desconocido,desconocido,1952,,Antropología,"Academia Nacional de Historia del Perú, Universidad Católica de Eichstätt","Lima, Eichstätt",gemini+web,media-alta,True,,,"El género se infiere del nombre 'Carmen' y de su aparición como 'Dra. Carmen Arellano Hoffmann' en diversas fuentes. La fecha de nacimiento, 1952, se encontró en una ficha bibliográfica. No se encontró información explícita sobre su país de nacimiento. Su disciplina principal es la Historia, con un enfoque en la etnohistoria y la arqueología andina y mesoamericana, como lo demuestran sus investigaciones sobre sistemas de anotación andinos (quipus), cosmovisión indígena, y su rol como directora de la Revista Histórica de la Academia Nacional de Historia del Perú. También se menciona su afiliación con la Universidad Católica de Eichstätt en publicaciones.","Perú, Alemania"
hoggart richard,masculino,Reino Unido,Anglosajón,1918,2014,Sociología,Universidad de Birmingham,City of Kingston upon Hull,wikidata,alta,False,Q1534871,,,
honneth axel,masculino,Alemania,Europa,1949,,Sociología,Goethe University Frankfurt y Columbia University,Berlín,wikidata,alta,False,Q60735,,,Alemania
hooks bell,femenino,Estados Unidos,Anglosajón,1952,2021,"Estudios de género, Estudios afroamericanos, Filosofía, Crítica cultural",Berea College,San Francisco,wikidata,alta,False,Q259507,,,
hopkins terence,masculino,Estados Unidos,Anglosajón,1928,1997,Sociología,Universidad de Binghamton,"Nueva York, Vestal, Binghamton",wikidata,alta,False,Q45829415,,"Terence Kilbourne Hopkins nació en 1928 y falleció el 3 de enero de 1997. Fue un sociólogo histórico estadounidense. Colaboró con Immanuel Wallerstein y Giovanni Arrighi en la teoría de los sistemas-mundo. Obtuvo su doctorado en sociología en la Universidad de Columbia, donde enseñó de 1958 a 1968. En 1970, fundó un programa de posgrado en sociología en la Universidad de Binghamton y enseñó allí hasta su jubilación en 1995. También ayudó a fundar el Centro Fernand Braudel en Binghamton.",Estados Unidos
hora roy,masculino,Argentina,Argentina,1965,,Historia,"Universidad de San Andrés, Universidad Nacional de Quilmes, CONICET","Victoria, Bernal, Buenos Aires",gemini+web,media-alta,False,,,"Roy Hora es identificado como 'historiador argentino' en múltiples fuentes. Su género se infiere como masculino por su nombre y por el uso de pronombres masculinos en todas las descripciones. Varias fuentes indican su año de nacimiento como 1965. Es Doctor en Historia Moderna por la Universidad de Oxford y Profesor de Historia por la Universidad de Buenos Aires, lo que establece su disciplina como Historia. Actualmente es Investigador Principal del CONICET y Profesor Principal de Cátedra en la Universidad de San Andrés y Profesor Titular Regular en la Universidad Nacional de Quilmes.",Argentina
horkheimer max,masculino,Alemania,Europa,1895,1973,Filosofía y Sociología,Universidad de Fráncfort,Chicago,wikidata,alta,False,Q76826,,,Estados Unidos
horowitz joel,masculino,Estados Unidos,Anglosajón,1941,,Historia,Universidad de St. Bonaventure,"Evanston, Iowa City, Saint Bonaventure",wikidata,alta,False,Q41801947,,"Se encontró información sobre dos académicos llamados Joel Horowitz. Uno es un econometrista y el otro es un historiador. Los datos conocidos (disciplina: Economía) y el contexto adicional (títulos de publicaciones: capítulo 2 la creación de la imagen: construcción de las imágenes de yrigoyen y alvear, editoriales: edhasa, materias: Historia argentina) sugieren que la búsqueda se refiere al historiador Joel Horowitz. Sin embargo, la información más detallada sobre fecha y país de nacimiento se encontró para el econometrista Joel L. Horowitz. 

Para el econometrista Joel L. Horowitz:
- Género: masculino (inferido por el nombre y confirmado por las biografías). 
- País de nacimiento: Estados Unidos. Nació en Pasadena, California.
- Fecha de nacimiento: 1941.
- Disciplina: Econometría, con contribuciones a métodos semiparamétricos y no paramétricos.
- Institución: Charles E. and Emma H. Morrison Professor of Economics en Northwestern University desde 2001. También fue profesor en la University of Iowa (1982-2001).

Para el historiador Joel Horowitz:
- Género: masculino (inferido por el nombre y confirmado por las biografías). 
- País de nacimiento: desconocido.
- Fecha de nacimiento: desconocido.
- Disciplina: Historia, con especialización en historia argentina.
- Institución: Profesor emérito de historia en Saint Bonaventure University.

Dado que la disciplina proporcionada en los datos conocidos es 'Economía', y la información más específica sobre fecha y país de nacimiento se encontró para el econometrista, se priorizó esa información. Sin embargo, el contexto adicional sobre publicaciones en historia argentina es contradictorio con la disciplina de econometría. Si el usuario se refería al historiador, la fecha y país de nacimiento serían desconocidos.",Estados Unidos
horst heather,femenino,Estados Unidos,Anglosajón,2000,,Antropología,Western Sydney University,Sídney,wikidata,alta,False,Q5693881,,,Australia
hume david,masculino,Escocia,Anglosajón,1711,1776,"Filosofía, Historia, Economía",Universidad de Edimburgo,Edimburgo,wikidata,alta,False,Q49872722,,"David Hume nació en Edimburgo, Escocia, el 7 de mayo de 1711 y falleció el 25 de agosto de 1776 en la misma ciudad. Fue un filósofo, historiador, economista y ensayista escocés. Estudió en la Universidad de Edimburgo. Aunque la información previa indicaba 'Ciencias Sociales' como disciplina, las fuentes web especifican 'Filosofía', 'Historia' y 'Economía' como sus principales áreas de trabajo. Se mantiene la Universidad de Edimburgo como institución, ya que fue donde estudió y donde también intentó obtener una cátedra sin éxito.",Reino Unido
huxley aldous,masculino,Reino Unido,Anglosajón,1894,1963,Literatura,"Balliol College, Oxford",Durham,wikidata,alta,False,Q81447,,,Estados Unidos
hyman richard,masculino,Reino Unido,Anglosajón,1942,,Relaciones Industriales,"London School of Economics, University of Warwick","Londres, Coventry",gemini+web,media-alta,False,,,"Richard Hyman nació el 9 de julio de 1942 en el Reino Unido. Es un académico británico en el campo de las relaciones industriales. Se le identifica como 'masculino' por el uso de pronombres y el contexto de las biografías académicas. Ha sido Profesor Emérito en la London School of Economics y previamente ocupó una Cátedra en Relaciones Industriales en la Universidad de Warwick. Su disciplina principal es Relaciones Industriales, con un enfoque en temas como el sindicalismo, el conflicto industrial y la política del mercado laboral. También se menciona su trabajo en Sociología del Trabajo en el contexto de currículums universitarios y publicaciones.",Reino Unido
hymes dell,masculino,Estados Unidos,Anglosajón,1927,2009,Lingüística,Universidad de Pennsylvania,Charlottesville,wikidata,alta,False,Q973276,,,Estados Unidos
hébert robert,masculino,Estados Unidos,Anglosajón,1943,,Economía,"Auburn University, Louisiana State University, Clemson University, University of Louisiana at Lafayette, Université de Paris 1 (Sorbonne), University of Caen","Auburn, Baton Rouge, Clemson, Lafayette, París, Caen",gemini+web,media-alta,False,,,"Se identificó a Robert F. Hébert como un especialista en historia del pensamiento económico. Nació en Donaldsonville, Luisiana, el 2 de abril de 1943. Fue profesor emérito de economía en la Universidad de Auburn. Ha coescrito libros con McGraw-Hill, como 'A History of Economic Theory and Method'. Se descartaron otros 'Robert Hébert' o 'Robert Herbert' que eran periodistas, políticos, filósofos o con otras fechas de nacimiento y muerte, ya que no coincidían con la descripción de autor académico en ciencias sociales, ni con las editoriales o títulos de publicaciones mencionadas en el contexto adicional.","Estados Unidos, Francia"
illouz eva,femenino,Marruecos,África,1961,,Sociología,Universidad Hebrea de Jerusalén,Princeton,wikidata,alta,False,Q48868,,,
imbelloni josé,masculino,Reino De Italia,Europa,1885,1967,Antropología,Universidad de Buenos Aires,Buenos Aires,wikidata,alta,False,Q3810460,,,Argentina
ingold tim,masculino,Reino Unido,Anglosajón,1948,,Antropología,Universidad de Aberdeen,Aberdeen,wikidata,alta,False,Q2073266,,,Reino Unido
isacovich paula,femenino,Argentina,Argentina,desconocido,,Antropología Social,"Universidad de Buenos Aires, CONICET, Universidad Nacional de José C. Paz","Buenos Aires, José C. Paz",gemini+web,media-alta,False,,,"El género se infiere por el nombre 'Paula' y por la forma en que se refieren a ella en las fuentes ('Doctora', 'Licenciada', 'Profesora', 'Investigadora Asistente'). Su país de nacimiento se infiere por su afiliación a universidades argentinas (UBA, UNPAZ) y al CONICET, así como por el enfoque de sus investigaciones en Argentina. La fecha de nacimiento no se encuentra explícitamente en las fuentes. La disciplina se especifica como 'Antropología Social' en múltiples fuentes, donde se menciona que es Doctora, Licenciada y Profesora en Ciencias Antropológicas. Las instituciones principales son la Universidad de Buenos Aires (UBA), el CONICET y la Universidad Nacional de José C. Paz (UNPAZ).",Argentina
isla alejandro,masculino,Argentina,Argentina,1944,2019,Antropología,FLACSO Argentina,Guanajuato,wikidata,alta,False,Q58368767,,"Alejandro Isla nació en 1944 y falleció en 2019. Estudió Antropología en la Universidad Nacional de La Plata y obtuvo su doctorado en la UBA. Fue investigador del CONICET y fundador de la Maestría en Antropología Social en FLACSO Argentina. La información sobre la Universidad de Guanajuato parece referirse a otro académico con el mismo nombre, Alejandro Islas Jácome, quien es químico. Por lo tanto, la institución principal para el Alejandro Isla de Ciencias Sociales es FLACSO Argentina y CONICET, además de las universidades donde se formó.",México
jabardo mercedes,femenino,desconocido,desconocido,desconocido,,Antropología Social,"Universidad Miguel Hernández de Elche, Universidad Autónoma de Madrid","Elche, Madrid",gemini+web,media-alta,True,,,"Mercedes Jabardo es identificada como profesora de Antropología Social en la Universidad Miguel Hernández de Elche y Doctora en Antropología Social por la Universidad Autónoma de Madrid. Su nombre 'Mercedes' es comúnmente femenino en español, y las fuentes se refieren a ella como 'profesora' y 'autora', lo que confirma su género femenino. No se encontró información sobre su fecha o país de nacimiento. Su área de especialización es claramente la Antropología Social, con un enfoque en migraciones africanas, feminismos negros y género. Ha coordinado publicaciones con la editorial Ankulegi Antropologia Elkartea.",España
jallais sophie,femenino,Francia,Europa,1962,,Economía,Université Paris 1 Panthéon-Sorbonne,,wikidata,alta,False,Q93244913,,,
james daniel,masculino,Inglaterra,Anglosajón,1948,,Historia,Universidad de Indiana,Villigen,wikidata,alta,False,Q55777508,,"Se encontró información sobre Daniel James, un historiador británico nacido en 1948 en Shepperton, Inglaterra, Reino Unido. Estudió en la Universidad de Oxford y en la London School of Economics and Political Science. Su investigación se ha centrado en la historia social y laboral del Cono Sur, particularmente Argentina, y ha escrito extensamente sobre historia oral. Ha enseñado en varias universidades, incluyendo Yale, Duke y, desde 1999, en Indiana University, donde ocupa la Cátedra Bernardo Mendel de Historia Latinoamericana. Entre sus publicaciones se encuentran 'Resistance and Integration: Peronism and the Argentine Working Class, 1946-1976' y 'Doña María's Story: Life History, Memory, and Political Identity'. También es coautor de 'Paisajes del pasado. Relatos e imágenes de una comunidad obrera' (2024) junto a Mirta Lobato. La institución 'Instituto Paul Scherrer' no se encontró asociada a este Daniel James, y parece ser un dato incorrecto de la información previa.",Suiza
jelin elizabeth,femenino,Argentina,Argentina,1941,,Sociología,Instituto de Desarrollo Económico y Social (IDES),,wikidata,alta,False,Q20016255,,,
jenking craig,masculino,desconocido,desconocido,desconocido,,Sociología,The Ohio State University,Columbus,gemini+web,media-alta,True,,,"Se identifica a J. Craig Jenkins como Academy Professor Emeritus de Sociología en The Ohio State University. Su investigación se centra en movimientos sociales, sociología política y desarrollo social. Es autor de 'Resource Mobilization Theory and the Study of Social Movements'. El nombre 'J. Craig Jenkins' y su afiliación a una universidad estadounidense sugieren un género masculino. No se encontró información sobre su fecha o país de nacimiento en fuentes académicas. Se descartaron otros 'Craig Jenkins' que aparecen en los resultados de búsqueda (jugador de hockey, personas con registros criminales, directores de empresas, jugador de fútbol americano y crítico de música) por no coincidir con el perfil de autor académico en ciencias sociales.",Estados Unidos
jewitt carey,femenino,Reino Unido,Anglosajón,1962,,Sociología,University College London (UCL),Londres,wikidata,alta,False,Q79914983,,"Carey Jewitt es identificada como mujer en todas las fuentes. Su fecha de nacimiento, febrero de 1962, se encontró en un registro de nombramientos de empresas. Se menciona que es de nacionalidad británica y su país de residencia es el Reino Unido, lo que indica que su país de nacimiento es el Reino Unido. Su formación interdisciplinaria incluye Sociología. Actualmente es Profesora de Tecnología y Aprendizaje en el UCL Knowledge Lab en el Departamento de Cultura, Comunicación y Medios, Instituto de Educación (UCL).",Reino Unido
jiménez juan pablo,masculino,Argentina,Argentina,1963,2025,Economía,Facultad Latinoamericana de Ciencias Sociales – FLACSO,"Buenos Aires, Santiago, Nueva York",gemini+web,media-alta,False,,,"Se identificó a Juan Pablo Jiménez como economista argentino, profesor de Finanzas Públicas en FLACSO Argentina y con una destacada trayectoria en la CEPAL. Nació en Argentina y se graduó de la Universidad de Buenos Aires. Se menciona que falleció a los 61 años en junio de 2025, lo que permite calcular su año de nacimiento como 1963. Su género se infiere del nombre y de la información biográfica. Su disciplina principal es la Economía, con especialización en finanzas públicas, política fiscal y tributación.","Argentina, Chile, Estados Unidos"
jirón paola,femenino,Chile,Latinoamérica,desconocido,,Planificación Urbana y Regional,Universidad de Chile,Santiago,gemini+web,media-alta,False,,,"Paola Jirón es consistentemente referenciada como 'Paola Jirón Martínez' y 'ella' en múltiples fuentes, lo que indica su género femenino. Se doctoró en Planificación Urbana y Regional en la London School of Economics and Political Science. Es profesora en la Facultad de Arquitectura y Urbanismo de la Universidad de Chile y ha sido directora del Instituto de la Vivienda (INVI) de la misma universidad. Su trabajo se centra en estudios urbanos, movilidad, género, vida cotidiana y accesibilidad, lo que la sitúa claramente en la disciplina de Planificación Urbana y Regional, con fuertes vínculos con la Sociología y la Geografía Social. Aunque se menciona que se tituló de economista en la Universidad Concordia, su doctorado y la mayor parte de su carrera académica se han desarrollado en el ámbito de la planificación urbana y regional. No se encontró información sobre su año de nacimiento en las fuentes consultadas.",Chile
joas hans,masculino,Alemania,Europa,1948,,Sociología,Universidad Humboldt de Berlín,Chicago,wikidata,alta,False,Q72453,,,Estados Unidos
